,Kingdom,Clade
I2306,2,1783272
I1212,2,1783272
I2815,2,1224
I1717,2,200940
I2223,2,1783272
I1080,2,1224
I1757,2,1783272
I2087,2,32066
I2728,2,1783272
I3554,2,1783272
I3770,2,1783272
I2652,2,1783272
I2869,2,1783272
I2588,2,1224
I3670,2,29547
I3210,2,1783272
I3716,2,1224
I2215,2,1783272
I2261,2,1783270
I1234,2,1224
I2372,2,1783272
I3990,2,1783272
I760,2,1783257
I1217,2,1783257
I2609,2,1783272
I1703,2,1783272
I2431,2,1783272
I3630,2,1783272
I2513,2,1783272
I835,2,1783272
I3833,2,1783272
I3983,2,1224
I2052,2,1783272
I3836,2,1783272
I2351,2,1783272
I1583,2,1783272
I2512,2,1783272
I3515,2,1783272
I1750,2,29547
I459,2,1224
I448,2,1224
I1523,2,1783272
I300,2,1224
I783,2,1224
I878,2,1224
I3598,2,1224
I1601,2,1783272
I3802,2,1224
I3847,2,1783272
I3855,2,1224
I3406,2,1783270
I1252,2,1783272
I2139,2,1783272
I1980,2,1224
I2766,2,1783272
I278,2,1224
I2856,2,1783272
I550,2,1224
I2277,2,200940
I195,2,1783272
I2994,2,1224
I1647,2,1783272
I1587,2,29547
I3656,2,1783272
I3106,2,1783272
I201,2,1224
I638,2,1224
I1989,2,1224
I2217,2,1783272
I917,2,1224
I2627,2,1783272
I1179,2,1224
I246,2,1783272
I2369,2,1783272
I646,2,1224
I130,2,1224
I4006,2,1224
I1819,2,1783272
I665,2,1783272
I321,2,1783272
I3827,2,1783270
I632,2,1224
I202,2,1224
I1899,2,200940
I1555,2,200940
I3271,2,1783272
I3388,2,1783272
I3803,2,1224
I467,2,1224
I1884,2,1783272
I803,2,1224
I3291,2,1783272
I3777,2,1783272
I772,2,1783272
I2460,2,1783270
I1979,2,1783272
I528,2,1224
I791,2,1224
I3220,2,1783272
I3274,2,1783272
I3923,2,1783272
I405,2,1224
I943,2,1783272
I2432,2,1783272
I3392,2,1783270
I985,2,1224
I994,2,1783270
I73,2,1224
I2900,2,1783270
I486,2,1783272
I1541,2,1783272
I2057,2,1783270
I3570,2,1783272
I2755,2,1783272
I1953,2,1783272
I2965,2,1783272
I1249,2,1783272
I3272,2,1783272
I517,2,1224
I923,2,1783272
I1788,2,1224
I50,2,1224
I516,2,1224
I1107,2,1224
I3745,2,1783272
I379,2,1224
I1332,2,1224
I989,2,1224
I2584,2,1224
I551,2,1224
I3952,2,1783272
I2001,2,1224
I4008,2,1224
I4050,2,1224
I3148,2,1783272
I955,2,1783272
I2263,2,1783270
I4076,2,1224
I3463,2,1783272
I3141,2,1783272
I3389,2,1783272
I3790,2,1224
I824,2,1783272
I1619,2,1224
I2812,2,1224
I2471,2,200940
I2773,2,1783272
I821,2,1783272
I3818,2,1783272
I3568,2,1783272
I285,2,1224
I3764,2,1783272
I2170,2,1224
I2641,2,1783272
I3867,2,1224
I3280,2,1783272
I358,2,1224
I2854,2,1783272
I385,2,1224
I3195,2,1224
I2036,2,1783272
I2659,2,1783272
I541,2,1224
I865,2,1224
I1932,2,29547
I348,2,1224
I3720,2,1224
I1546,2,49928
I1786,2,1224
I2375,2,1224
I1817,2,1783272
I476,2,1783270
I1657,2,49928
I466,2,1224
I138,2,1783272
I2208,2,1783272
I2918,2,1783272
I2312,2,1783272
I3504,2,1783272
I3049,2,1783272
I724,2,1224
I260,2,2138240
I1452,2,1783272
I2707,2,1783272
I3134,2,1783272
I3269,2,1783272
I2467,2,203691
I945,2,1783272
I1900,2,1783270
I3260,2,1783270
I110,2,1224
I2865,2,1783272
I2117,2,1783272
I1086,2,1224
I2296,2,1783272
I2725,2,1783272
I1481,2,1224
I2940,2,1783272
I3765,2,1783272
I172,2,2818505
I1214,2,1783272
I3693,2,1783272
I1860,2,1783270
I2000,2,1224
I1753,2,1783272
I234,2,1224
I3516,2,1783272
I2273,2,203691
I2774,2,1783272
I3246,2,1783270
I949,2,1783272
I1350,2,1783272
I2971,2,1783272
I840,2,1783272
I3036,2,1783272
I2374,2,1224
I3573,2,1783272
I48,2,2138240
I434,2,1224
I1813,2,1783272
I2564,2,1783272
I2886,2,1783270
I664,2,1224
I3475,2,1783272
I2636,2,1783272
I2954,2,1783272
I1009,2,29547
I1782,2,1224
I1898,2,200940
I2021,2,1783272
I2983,2,1224
I3074,2,1783270
I2813,2,1224
I1162,2,1783270
I574,2,1783272
I1429,2,1783272
I3747,2,1783272
I1521,2,1783272
I3972,2,1783272
I730,2,1224
I2685,2,32066
I1099,2,1783272
I1063,2,57723
I3455,2,1783272
I226,2,1224
I244,2,1783272
I952,2,1783270
I897,2,1224
I629,2,1224
I307,2,1783257
I801,2,1224
I2465,2,203691
I2997,2,1224
I3893,2,1783272
I4068,2,1224
I2760,2,1783272
I3059,2,1783272
I792,2,1224
I1530,2,1783272
I2128,2,1783272
I2540,2,1783272
I1711,2,32066
I1905,2,1783272
I2969,2,1783272
I457,2,1224
I1445,2,1783272
I3155,2,1783272
I3917,2,1783272
I4029,2,1224
I375,2,1224
I693,2,1783272
I455,2,1224
I3023,2,1783272
I345,2,1224
I2809,2,1224
I1769,2,1783272
I4044,2,1224
I3961,2,1783272
I3937,2,1783272
I290,2,1224
I936,2,1783272
I527,2,1224
I3078,2,203691
I3542,2,1783272
I2075,2,1783272
I3206,2,1783272
I1885,2,29547
I1254,2,1783272
I973,2,1224
I1303,2,1783272
I2085,2,32066
I4069,2,1224
I3255,2,1783270
I728,2,1224
I937,2,1783272
I3488,2,1224
I3678,2,1783272
I4002,2,1224
I2316,2,1783272
I2550,2,1783272
I3825,2,1783272
I844,2,1783257
I1464,2,1224
I2520,2,1783272
I2860,2,1783272
I820,2,1783272
I1742,2,1783272
I3382,2,1783272
I176,2,1224
I671,2,1783272
I3395,2,1783270
I1914,2,1783272
I2142,2,1783272
I77,2,1224
I3409,2,1783270
I3962,2,1224
I1301,2,1783272
I159,2,1224
I3156,2,1783272
I4062,2,1224
I270,2,1224
I778,2,1224
I3464,2,1783272
I2199,2,1224
I289,2,1224
I3941,2,1224
I1494,2,1783272
I4028,2,1224
I1987,2,1224
I3491,2,1224
I3665,2,1783272
I140,2,1224
I2123,2,1783272
I1600,2,1783272
I3545,2,1783272
I2922,2,1783272
I2958,2,1783272
I2603,2,1224
I2147,2,1783272
I504,2,1783270
I1968,2,1224
I1355,2,1783272
I652,2,1224
I1502,2,1783272
I463,2,1224
I2528,2,1783272
I2392,2,1224
I161,2,1224
I413,2,2138240
I2020,2,1783272
I1598,2,1783272
I1650,2,1783272
I957,2,1783270
I71,2,2138240
I3460,2,1783272
I1865,2,1783270
I3672,2,1783272
I2333,2,29547
I673,2,1783272
I842,2,1783272
I1192,2,1783272
I1537,2,1783270
I1542,2,203691
I1981,2,1224
I2324,2,1783272
I2378,2,1783257
I1270,2,1783270
I3242,2,1783270
I1525,2,1783272
I117,2,1224
I1257,2,1783272
I424,2,1224
I1297,2,1224
I3702,2,1783272
I482,2,1783272
I906,2,1783272
